   lon          lat            geox            geoy        i     j     g 
   194.03623    64.734718       -566650.0       1692650.0     9    16   324 
   194.03830    64.734879       -566550.0       1692650.0    10    16   325 
   194.04036    64.735040       -566450.0       1692650.0    11    16   326 
   194.04243    64.735200       -566350.0       1692650.0    12    16   327 
   194.04449    64.735361       -566250.0       1692650.0    13    16   328 
   194.04656    64.735521       -566150.0       1692650.0    14    16   329 
   194.04863    64.735682       -566050.0       1692650.0    15    16   330 
   194.05069    64.735842       -565950.0       1692650.0    16    16   331 
   194.05276    64.736003       -565850.0       1692650.0    17    16   332 
   194.05482    64.736163       -565750.0       1692650.0    18    16   333 
   194.05689    64.736323       -565650.0       1692650.0    19    16   334 
   194.05896    64.736484       -565550.0       1692650.0    20    16   335 
   194.06102    64.736644       -565450.0       1692650.0    21    16   336 
   194.01933    64.734314       -567450.0       1692750.0     1    17   337 
   194.02139    64.734475       -567350.0       1692750.0     2    17   338 
   194.02346    64.734636       -567250.0       1692750.0     3    17   339 
   194.02552    64.734797       -567150.0       1692750.0     4    17   340 
   194.02759    64.734958       -567050.0       1692750.0     5    17   341 
   194.02966    64.735118       -566950.0       1692750.0     6    17   342 
   194.03172    64.735279       -566850.0       1692750.0     7    17   343 
   194.03379    64.735440       -566750.0       1692750.0     8    17   344 
   194.03585    64.735600       -566650.0       1692750.0     9    17   345 
   194.03792    64.735761       -566550.0       1692750.0    10    17   346 
   194.03999    64.735922       -566450.0       1692750.0    11    17   347 
   194.04205    64.736082       -566350.0       1692750.0    12    17   348 
   194.04412    64.736243       -566250.0       1692750.0    13    17   349 
   194.04618    64.736403       -566150.0       1692750.0    14    17   350 
   194.04825    64.736564       -566050.0       1692750.0    15    17   351 
   194.05032    64.736724       -565950.0       1692750.0    16    17   352 
   194.05238    64.736885       -565850.0       1692750.0    17    17   353 
   194.05445    64.737045       -565750.0       1692750.0    18    17   354 
   194.05651    64.737205       -565650.0       1692750.0    19    17   355 
   194.05858    64.737366       -565550.0       1692750.0    20    17   356 
   194.06065    64.737526       -565450.0       1692750.0    21    17   357 
   194.01895    64.735196       -567450.0       1692850.0     1    18   358 
   194.02102    64.735357       -567350.0       1692850.0     2    18   359 
   194.02308    64.735518       -567250.0       1692850.0     3    18   360 
   194.02515    64.735679       -567150.0       1692850.0     4    18   361 
   194.02721    64.735840       -567050.0       1692850.0     5    18   362 
   194.02928    64.736000       -566950.0       1692850.0     6    18   363 
   194.03135    64.736161       -566850.0       1692850.0     7    18   364 
   194.03341    64.736322       -566750.0       1692850.0     8    18   365 
   194.03548    64.736482       -566650.0       1692850.0     9    18   366 
   194.03754    64.736643       -566550.0       1692850.0    10    18   367 
   194.03961    64.736804       -566450.0       1692850.0    11    18   368 
   194.04168    64.736964       -566350.0       1692850.0    12    18   369 
   194.04374    64.737125       -566250.0       1692850.0    13    18   370 
   194.04581    64.737285       -566150.0       1692850.0    14    18   371 
   194.04787    64.737446       -566050.0       1692850.0    15    18   372 
   194.04994    64.737606       -565950.0       1692850.0    16    18   373 
   194.05201    64.737767       -565850.0       1692850.0    17    18   374 
   194.05407    64.737927       -565750.0       1692850.0    18    18   375 
   194.05614    64.738088       -565650.0       1692850.0    19    18   376 
   194.05821    64.738248       -565550.0       1692850.0    20    18   377 
   194.06027    64.738408       -565450.0       1692850.0    21    18   378 
   194.01857    64.736078       -567450.0       1692950.0     1    19   379 
   194.02064    64.736239       -567350.0       1692950.0     2    19   380 
   194.02270    64.736400       -567250.0       1692950.0     3    19   381 
   194.02477    64.736561       -567150.0       1692950.0     4    19   382 
   194.02684    64.736722       -567050.0       1692950.0     5    19   383 
   194.02890    64.736882       -566950.0       1692950.0     6    19   384 
   194.03097    64.737043       -566850.0       1692950.0     7    19   385 
   194.03303    64.737204       -566750.0       1692950.0     8    19   386 
   194.03510    64.737364       -566650.0       1692950.0     9    19   387 
   194.03717    64.737525       -566550.0       1692950.0    10    19   388 
   194.03923    64.737686       -566450.0       1692950.0    11    19   389 
   194.04130    64.737846       -566350.0       1692950.0    12    19   390 
   194.04337    64.738007       -566250.0       1692950.0    13    19   391 
   194.04543    64.738167       -566150.0       1692950.0    14    19   392 
   194.04750    64.738328       -566050.0       1692950.0    15    19   393 
   194.04956    64.738488       -565950.0       1692950.0    16    19   394 
   194.05163    64.738649       -565850.0       1692950.0    17    19   395 
   194.05370    64.738809       -565750.0       1692950.0    18    19   396 
   194.05576    64.738970       -565650.0       1692950.0    19    19   397 
   194.05783    64.739130       -565550.0       1692950.0    20    19   398 
   194.05990    64.739290       -565450.0       1692950.0    21    19   399 
   194.01820    64.736960       -567450.0       1693050.0     1    20   400 
   194.02026    64.737121       -567350.0       1693050.0     2    20   401 
   194.02233    64.737282       -567250.0       1693050.0     3    20   402 
   194.02439    64.737443       -567150.0       1693050.0     4    20   403 
   194.02646    64.737604       -567050.0       1693050.0     5    20   404 
   194.02853    64.737764       -566950.0       1693050.0     6    20   405 
   194.03059    64.737925       -566850.0       1693050.0     7    20   406 
   194.03266    64.738086       -566750.0       1693050.0     8    20   407 
   194.03472    64.738247       -566650.0       1693050.0     9    20   408 
   194.03679    64.738407       -566550.0       1693050.0    10    20   409 
   194.03886    64.738568       -566450.0       1693050.0    11    20   410 
   194.04092    64.738728       -566350.0       1693050.0    12    20   411 
   194.04299    64.738889       -566250.0       1693050.0    13    20   412 
   194.04506    64.739049       -566150.0       1693050.0    14    20   413 
   194.04712    64.739210       -566050.0       1693050.0    15    20   414 
   194.04919    64.739370       -565950.0       1693050.0    16    20   415 
   194.05125    64.739531       -565850.0       1693050.0    17    20   416 
   194.05332    64.739691       -565750.0       1693050.0    18    20   417 
   194.05539    64.739852       -565650.0       1693050.0    19    20   418 
   194.05745    64.740012       -565550.0       1693050.0    20    20   419 
   194.05952    64.740172       -565450.0       1693050.0    21    20   420 
   194.01782    64.737842       -567450.0       1693150.0     1    21   421 
   194.01989    64.738003       -567350.0       1693150.0     2    21   422 
   194.02195    64.738164       -567250.0       1693150.0     3    21   423 
   194.02402    64.738325       -567150.0       1693150.0     4    21   424 
   194.02608    64.738486       -567050.0       1693150.0     5    21   425 
   194.02815    64.738646       -566950.0       1693150.0     6    21   426 
   194.03022    64.738807       -566850.0       1693150.0     7    21   427 
   194.03228    64.738968       -566750.0       1693150.0     8    21   428 
   194.03435    64.739129       -566650.0       1693150.0     9    21   429 
   194.03641    64.739289       -566550.0       1693150.0    10    21   430 
   194.03848    64.739450       -566450.0       1693150.0    11    21   431 
   194.04055    64.739610       -566350.0       1693150.0    12    21   432 
   194.04261    64.739771       -566250.0       1693150.0    13    21   433 
   194.04468    64.739932       -566150.0       1693150.0    14    21   434 
   194.04675    64.740092       -566050.0       1693150.0    15    21   435 
   194.04881    64.740253       -565950.0       1693150.0    16    21   436 
   194.05088    64.740413       -565850.0       1693150.0    17    21   437 
   194.05295    64.740573       -565750.0       1693150.0    18    21   438 
   194.05501    64.740734       -565650.0       1693150.0    19    21   439 
   194.05708    64.740894       -565550.0       1693150.0    20    21   440 
   194.05914    64.741055       -565450.0       1693150.0    21    21   441 
   194.01744    64.738724       -567450.0       1693250.0     1    22   442 
   194.01951    64.738885       -567350.0       1693250.0     2    22   443 
   194.02157    64.739046       -567250.0       1693250.0     3    22   444 
   194.02364    64.739207       -567150.0       1693250.0     4    22   445 
   194.02571    64.739368       -567050.0       1693250.0     5    22   446 
   194.02777    64.739528       -566950.0       1693250.0     6    22   447 
   194.02984    64.739689       -566850.0       1693250.0     7    22   448 
   194.03191    64.739850       -566750.0       1693250.0     8    22   449 
   194.03397    64.740011       -566650.0       1693250.0     9    22   450 
   194.03604    64.740171       -566550.0       1693250.0    10    22   451 
   194.03810    64.740332       -566450.0       1693250.0    11    22   452 
   194.04017    64.740492       -566350.0       1693250.0    12    22   453 
   194.04224    64.740653       -566250.0       1693250.0    13    22   454 
   194.04430    64.740814       -566150.0       1693250.0    14    22   455 
   194.04637    64.740974       -566050.0       1693250.0    15    22   456 
   194.04844    64.741135       -565950.0       1693250.0    16    22   457 
   194.05050    64.741295       -565850.0       1693250.0    17    22   458 
   194.05257    64.741455       -565750.0       1693250.0    18    22   459 
   194.05464    64.741616       -565650.0       1693250.0    19    22   460 
   194.05670    64.741776       -565550.0       1693250.0    20    22   461 
   194.05877    64.741937       -565450.0       1693250.0    21    22   462 
   194.01707    64.739606       -567450.0       1693350.0     1    23   463 
