   lon          lat            geox            geoy        i     j     g 
   196.21234    64.860662       -462350.0       1689650.0     2     4   194 
   196.21442    64.860793       -462250.0       1689650.0     3     4   195 
   196.21651    64.860925       -462150.0       1689650.0     4     4   196 
   196.21860    64.861057       -462050.0       1689650.0     5     4   197 
   196.22068    64.861188       -461950.0       1689650.0     6     4   198 
   196.22277    64.861320       -461850.0       1689650.0     7     4   199 
   196.22486    64.861451       -461750.0       1689650.0     8     4   200 
   196.22694    64.861583       -461650.0       1689650.0     9     4   201 
   196.22903    64.861714       -461550.0       1689650.0    10     4   202 
   196.23112    64.861846       -461450.0       1689650.0    11     4   203 
   196.23320    64.861977       -461350.0       1689650.0    12     4   204 
   196.23529    64.862109       -461250.0       1689650.0    13     4   205 
   196.23738    64.862240       -461150.0       1689650.0    14     4   206 
   196.23946    64.862371       -461050.0       1689650.0    15     4   207 
   196.24155    64.862503       -460950.0       1689650.0    16     4   208 
   196.24364    64.862634       -460850.0       1689650.0    17     4   209 
   196.24572    64.862765       -460750.0       1689650.0    18     4   210 
   196.24781    64.862896       -460650.0       1689650.0    19     4   211 
   196.24990    64.863027       -460550.0       1689650.0    20     4   212 
   196.25198    64.863159       -460450.0       1689650.0    21     4   213 
   196.25407    64.863290       -460350.0       1689650.0    22     4   214 
   196.25616    64.863421       -460250.0       1689650.0    23     4   215 
   196.25824    64.863552       -460150.0       1689650.0    24     4   216 
   196.26033    64.863683       -460050.0       1689650.0    25     4   217 
   196.26242    64.863814       -459950.0       1689650.0    26     4   218 
   196.26450    64.863945       -459850.0       1689650.0    27     4   219 
   196.26659    64.864076       -459750.0       1689650.0    28     4   220 
   196.26868    64.864207       -459650.0       1689650.0    29     4   221 
   196.27076    64.864338       -459550.0       1689650.0    30     4   222 
   196.27285    64.864469       -459450.0       1689650.0    31     4   223 
   196.27494    64.864600       -459350.0       1689650.0    32     4   224 
   196.27703    64.864730       -459250.0       1689650.0    33     4   225 
   196.27911    64.864861       -459150.0       1689650.0    34     4   226 
   196.28120    64.864992       -459050.0       1689650.0    35     4   227 
   196.28329    64.865123       -458950.0       1689650.0    36     4   228 
   196.28537    64.865253       -458850.0       1689650.0    37     4   229 
   196.28746    64.865384       -458750.0       1689650.0    38     4   230 
   196.28955    64.865515       -458650.0       1689650.0    39     4   231 
   196.29164    64.865645       -458550.0       1689650.0    40     4   232 
   196.29372    64.865776       -458450.0       1689650.0    41     4   233 
   196.29581    64.865907       -458350.0       1689650.0    42     4   234 
   196.29790    64.866037       -458250.0       1689650.0    43     4   235 
   196.29998    64.866168       -458150.0       1689650.0    44     4   236 
   196.30207    64.866298       -458050.0       1689650.0    45     4   237 
   196.30416    64.866429       -457950.0       1689650.0    46     4   238 
   196.30625    64.866559       -457850.0       1689650.0    47     4   239 
   196.30833    64.866690       -457750.0       1689650.0    48     4   240 
   196.31042    64.866820       -457650.0       1689650.0    49     4   241 
   196.31251    64.866950       -457550.0       1689650.0    50     4   242 
   196.31459    64.867081       -457450.0       1689650.0    51     4   243 
   196.31668    64.867211       -457350.0       1689650.0    52     4   244 
   196.31877    64.867341       -457250.0       1689650.0    53     4   245 
   196.32086    64.867471       -457150.0       1689650.0    54     4   246 
   196.32294    64.867602       -457050.0       1689650.0    55     4   247 
   196.32503    64.867732       -456950.0       1689650.0    56     4   248 
   196.32712    64.867862       -456850.0       1689650.0    57     4   249 
   196.32921    64.867992       -456750.0       1689650.0    58     4   250 
   196.33129    64.868122       -456650.0       1689650.0    59     4   251 
   196.33338    64.868252       -456550.0       1689650.0    60     4   252 
   196.33547    64.868382       -456450.0       1689650.0    61     4   253 
   196.33756    64.868512       -456350.0       1689650.0    62     4   254 
   196.33964    64.868642       -456250.0       1689650.0    63     4   255 
